firma_adi,web_sitesi,sektor,kaynak
Insider,https://useinsider.com,Pazarlama teknolojileri / SaaS,Ön liste (doğrulanmadı)
Getir,https://getir.com,Hızlı ticaret / mobil uygulama,Ön liste (doğrulanmadı)
Trendyol,https://www.trendyol.com,E-ticaret platformu,Ön liste (doğrulanmadı)
Hepsiburada,https://www.hepsiburada.com,E-ticaret platformu,Ön liste (doğrulanmadı)
Yemeksepeti,https://www.yemeksepeti.com,Online yemek siparişi,Ön liste (doğrulanmadı)
Sahibinden.com,https://www.sahibinden.com,Online ilan platformu,Ön liste (doğrulanmadı)
Kariyer.net,https://www.kariyer.net,İK teknolojileri,Ön liste (doğrulanmadı)
Armut,https://www.armut.com,Hizmet pazaryeri,Ön liste (doğrulanmadı)
Modanisa,https://www.modanisa.com,E-ticaret,Ön liste (doğrulanmadı)
BiTaksi,https://bitaksi.com,Mobilite / mobil uygulama,Ön liste (doğrulanmadı)
Martı,https://www.marti.tech,Mobilite teknolojileri,Ön liste (doğrulanmadı)
Peak Games,https://www.peak.com,Mobil oyun,Ön liste (doğrulanmadı)
Dream Games,https://www.dreamgames.com,Mobil oyun,Ön liste (doğrulanmadı)
Rollic Games,https://www.rollicgames.com,Mobil oyun,Ön liste (doğrulanmadı)
Spyke Games,https://www.spykegames.com,Mobil oyun,Ön liste (doğrulanmadı)
Gram Games,https://www.gramgames.com,Mobil oyun,Ön liste (doğrulanmadı)
Codeway,https://codeway.co,Mobil uygulama geliştirme,Ön liste (doğrulanmadı)
Softtech,https://www.softtech.com.tr,Bankacılık yazılımı,Ön liste (doğrulanmadı)
Intertech,https://www.intertech.com.tr,Bankacılık teknolojileri,Ön liste (doğrulanmadı)
Innova Bilişim,https://www.innova.com.tr,BT çözümleri / sistem entegrasyonu,Ön liste (doğrulanmadı)
KoçSistem,https://www.kocsistem.com.tr,BT hizmetleri / sistem entegrasyonu,Ön liste (doğrulanmadı)
Sabancı DX,https://www.sabancidx.com,Dijital teknoloji / veri,Ön liste (doğrulanmadı)
Doğuş Teknoloji,https://www.d-teknoloji.com.tr,BT hizmetleri,Ön liste (doğrulanmadı)
Netaş,https://www.netas.com.tr,Telekom ve yazılım çözümleri,Ön liste (doğrulanmadı)
Etiya,https://www.etiya.com,Telekom yazılımı / BSS,Ön liste (doğrulanmadı)
